Feature,Importance
glucose,202
glucose_projected,158
glucose_change_projected,155
glucose_change,145
hour,127
dietary_fibers,108
fast_insulin,89
fats,71
complex_sugars,61
simple_sugars,45
proteins,40
slow_insulin,0
