feature,increment,mean,std
complex_sugars,-50,1.0286314212359835,0.5594767375362482
complex_sugars,-40,1.0318405798592147,0.560036361456622
complex_sugars,-30,1.0517042265901153,0.5679184446668305
complex_sugars,-20,0.9449424643276044,0.7002548754533247
complex_sugars,-10,0.4839614043233898,0.2932211078812202
complex_sugars,0,0.0,0.0
complex_sugars,10,-0.34365220166078475,0.3613004428190162
complex_sugars,20,-0.5034353122348377,0.479581275398191
complex_sugars,30,-0.569117602048922,0.5244401248614465
complex_sugars,40,-0.5985070744451083,0.5528736578231179
complex_sugars,50,-0.6082893406180293,0.5600485880756069
dietary_fibers,-50,-0.1694818066002112,0.1994321197299071
dietary_fibers,-40,-0.1694818066002112,0.1994321197299071
dietary_fibers,-30,-0.1694818066002112,0.1994321197299071
dietary_fibers,-20,-0.1694818066002112,0.1994321197299071
dietary_fibers,-10,-0.1694818066002112,0.1994321197299071
dietary_fibers,0,0.0,0.0
dietary_fibers,10,0.9590787216930364,1.2659445852846822
dietary_fibers,20,2.2888249784906307,1.5722316095239692
dietary_fibers,30,2.784035337773433,1.6872885706077507
dietary_fibers,40,2.9775888067559904,1.746217150869287
dietary_fibers,50,3.086598857384511,1.7849039734560297
fats,-50,-0.2616466769303058,0.6231318813053384
fats,-40,-0.2616466769303058,0.6231318813053384
fats,-30,-0.2616466769303058,0.6231318813053384
fats,-20,0.10779528349385513,0.7397863862352393
fats,-10,0.2270824136013445,0.5854288421601066
fats,0,0.0,0.0
fats,10,-0.482060042777497,0.3644218952693513
fats,20,-0.9168465548722469,0.8458937518646407
fats,30,-1.094986567112583,0.9535628205436822
fats,40,-1.2163447333565731,1.0136780396870497
fats,50,-1.2975155238348617,1.0583652265525934
proteins,-50,-0.5388100877869543,0.3813605210242354
proteins,-40,-0.5388100877869543,0.3813605210242354
proteins,-30,-0.5195022723964573,0.3598934162184394
proteins,-20,-0.41211787998619265,0.3245275439028043
proteins,-10,-0.16845687971134918,0.19282707401179686
proteins,0,0.0,0.0
proteins,10,0.08016356520806983,0.11175764609230099
proteins,20,0.14845733401918068,0.17564578758142468
proteins,30,0.19628426119157483,0.22383048346109613
proteins,40,0.22182250276238133,0.26232072693665287
proteins,50,0.25191565339677796,0.2921906583773372
simple_sugars,-50,0.15106869563215483,0.11832482368292227
simple_sugars,-40,0.14877330558985777,0.11586581121660329
simple_sugars,-30,0.14432622362014633,0.11175459008771128
simple_sugars,-20,0.12125050084791651,0.07840229631766917
simple_sugars,-10,0.09497202617875754,0.05532483896537329
simple_sugars,0,0.0,0.0
simple_sugars,10,-0.0560673629221927,0.040864304506038854
simple_sugars,20,-0.07615208680868639,0.05305666948244824
simple_sugars,30,-0.08362644642178112,0.05797724767478701
simple_sugars,40,-0.09084542320681692,0.06378433695961931
simple_sugars,50,-0.09210286216521568,0.06480300100257952
