feature,peak_time_h_mean,peak_time_h_std,duration_h_mean,duration_h_std,peak_height_mean,peak_height_std
complex_sugars,2.914476166375325,1.1050822486006844,5.613431354052975,1.5212650456816699,0.39683321599887833,0.19720721276847678
dietary_fibers,2.9269644599549687,1.3668500004917212,4.042522213124799,2.666355337948108,0.2520206426120261,0.12053737173949791
fats,2.4919523552446976,1.383726301030387,4.792919777627746,2.706267055812339,0.27846034607830533,0.19695184715944444
insulin,1.622109560231717,0.927683130860198,2.5935554035645065,1.4246964057109026,0.2867470716358122,0.10422078306619076
proteins,4.324366013963677,1.9672886929861275,4.507230627707062,2.492242582931264,0.1891789580121397,0.12310737127221541
simple_sugars,1.2930936295083113,0.8821927828655894,2.226103110288171,1.1810684784278054,0.3498669078024557,0.08912762328824186
