feature,metric,r,p,n
Carbohydrates,peak_time_h,-0.4717195058632181,0.01995794539596593,24
Carbohydrates,peak_height,-0.0369927985508671,0.8637436148910571,24
Carbohydrates,duration_h,-0.3235128896713356,0.1230528566481156,24
Insulin,peak_time_h,0.3660774826517816,0.07852226265731616,24
Insulin,peak_height,0.07587311995918711,0.7245633238472533,24
Insulin,duration_h,0.032408195718456406,0.8805038305669153,24
