Approach,AZT1D_RMSE,AZT1D_Std
Generic,29.823858695581354,19.7123978352667
Individual + no monotonic constraints,29.40627316453862,19.922666916128836
Individual + monotonic constraints,30.678060986845434,20.769632183199505
