Feature,Importance
glucose,194
glucose_change_projected,167
hour,165
glucose_projected,153
glucose_change,130
fast_insulin,92
dietary_fibers,90
proteins,56
fats,45
complex_sugars,16
simple_sugars,13
slow_insulin,0
