Feature,Importance
glucose,304
glucose_projected,251
glucose_change_projected,241
hour,237
glucose_change,231
proteins,146
fats,88
fast_insulin,83
slow_insulin,79
dietary_fibers,53
complex_sugars,36
simple_sugars,31
