iter	RMSE
0	28.00618522
1	27.84365627
2	27.66036162
3	27.46491828
4	27.27681878
5	27.12267845
6	26.95497915
7	26.80238531
8	26.65577387
9	26.51515431
10	26.36616696
11	26.23521019
12	26.08745856
13	25.95640347
14	25.82427866
15	25.69868652
16	25.566589
17	25.44847786
18	25.34451458
19	25.22408088
20	25.11466946
21	25.00086403
22	24.89453379
23	24.79828914
24	24.70378299
25	24.59600541
26	24.5030584
27	24.40844148
28	24.3215957
29	24.24305843
30	24.17151826
31	24.08725428
32	23.99727265
33	23.92307018
34	23.83607522
35	23.74463134
36	23.66313398
37	23.59223531
38	23.52130638
39	23.44265781
40	23.36703133
41	23.29480236
42	23.22949297
43	23.16769492
44	23.10035831
45	23.03753568
46	22.97243182
47	22.90639851
48	22.84817407
49	22.7951637
50	22.74933165
51	22.70807338
52	22.65917733
53	22.59631222
54	22.53225498
55	22.47266361
56	22.41537108
57	22.36807587
58	22.30546335
59	22.25814576
60	22.20372718
61	22.15684412
62	22.11824119
63	22.07589953
64	22.02794298
65	21.9817631
66	21.93316102
67	21.89321956
68	21.84967166
69	21.80255518
70	21.75737847
71	21.7179393
72	21.68607377
73	21.64185322
74	21.60827561
75	21.56926753
76	21.53175147
77	21.49876839
78	21.46354649
79	21.42093117
80	21.38599384
81	21.34350973
82	21.31594105
83	21.28373696
84	21.24327932
85	21.20860559
86	21.17244922
87	21.13728426
88	21.0971608
89	21.06209572
90	21.02824648
91	20.99821217
92	20.9676746
93	20.9369936
94	20.90543731
95	20.87552209
96	20.8447896
97	20.8202787
98	20.79362081
99	20.75962903
100	20.73358394
101	20.70210195
102	20.67232009
103	20.64974218
104	20.62083185
105	20.58762524
106	20.56164193
107	20.54043252
108	20.49852463
109	20.47419803
110	20.44634488
111	20.41496462
112	20.38558857
113	20.36187479
114	20.33438635
115	20.31596137
116	20.29647983
117	20.27024861
118	20.23948958
119	20.21829983
120	20.18734264
121	20.16535057
122	20.14227698
123	20.11800221
124	20.08988023
125	20.06082228
126	20.03221367
127	20.00569738
128	19.99201062
129	19.97093699
130	19.95224167
131	19.92473191
132	19.90095735
133	19.87448991
134	19.8570458
135	19.837255
136	19.81495
137	19.78651731
138	19.77011966
139	19.75326128
140	19.73531202
141	19.70468277
142	19.68402982
143	19.66723045
144	19.64917294
145	19.62434189
146	19.60510894
147	19.5800261
148	19.56834805
149	19.54765005
150	19.52433587
151	19.50711114
152	19.48687678
153	19.46815729
154	19.44694133
155	19.42783377
156	19.41020386
157	19.388384
158	19.37012547
159	19.35223183
160	19.33488403
161	19.31580694
162	19.29261242
163	19.27458794
164	19.26038329
165	19.23847505
166	19.22162655
167	19.20671873
168	19.19206585
169	19.16724778
170	19.15057892
171	19.13497822
172	19.12113922
173	19.1040591
174	19.08756011
175	19.07028384
176	19.05289606
177	19.03823698
178	19.02052644
179	19.00478862
180	18.99129114
181	18.97954605
182	18.96628195
183	18.95072038
184	18.93764394
185	18.9242527
186	18.90791895
187	18.8954523
188	18.88628061
189	18.87407455
190	18.86616858
191	18.85078786
192	18.83543112
193	18.82192072
194	18.8076365
195	18.79315942
196	18.78169636
197	18.77016275
198	18.75656214
199	18.74476417
200	18.73308767
201	18.71415785
202	18.70479843
203	18.69039206
204	18.68082237
205	18.66900817
206	18.65880299
207	18.64991276
208	18.63736128
209	18.62613828
210	18.6159028
211	18.60058332
212	18.58743726
213	18.57653964
214	18.56323906
215	18.55143379
216	18.53970778
217	18.52676898
218	18.51293908
219	18.50159863
220	18.49175182
221	18.48045372
222	18.47220611
223	18.46056623
224	18.44410388
225	18.43599496
226	18.42737327
227	18.4133933
228	18.39934202
229	18.38867224
230	18.37644687
231	18.36301436
232	18.34182614
233	18.33505193
234	18.3279454
235	18.31909676
236	18.30553863
237	18.29725255
238	18.29010215
239	18.28152418
240	18.26944776
241	18.2585911
242	18.2438021
243	18.23489723
244	18.22186217
245	18.213922
246	18.20424785
247	18.19617467
248	18.18969694
249	18.17623359
250	18.1680457
251	18.16239219
252	18.152942
253	18.14247068
254	18.13231012
255	18.12233245
256	18.11444037
257	18.09825948
258	18.08788342
259	18.07825135
260	18.06896106
261	18.06257782
262	18.05373465
263	18.04447881
264	18.0365681
265	18.03009183
266	18.02221614
267	18.01486736
268	18.00777495
269	17.99782592
270	17.9883031
271	17.97991051
272	17.97394964
273	17.96250966
274	17.95309516
275	17.94618317
276	17.93885426
277	17.93087787
278	17.92225153
279	17.91238642
280	17.90547339
281	17.89740473
282	17.88860747
283	17.87966649
284	17.87244178
285	17.86380694
286	17.85628714
287	17.85104159
288	17.84234526
289	17.83647881
290	17.82201883
291	17.81745635
292	17.81039894
293	17.79962117
294	17.79151463
295	17.78419672
296	17.77707902
297	17.76915246
298	17.76218024
299	17.75721447
300	17.74971546
301	17.73906444
302	17.73032298
303	17.72619686
304	17.72166501
305	17.71844265
306	17.71103104
307	17.70114873
308	17.69572398
309	17.68740694
310	17.6820606
311	17.67654604
312	17.668978
313	17.66137095
314	17.65471985
315	17.6470379
316	17.64028228
317	17.63313439
318	17.62792977
319	17.62436774
320	17.62064853
321	17.61420432
322	17.6091284
323	17.60159862
324	17.59373788
325	17.58658988
326	17.58218489
327	17.57609911
328	17.57067581
329	17.5629517
330	17.55086895
331	17.54178893
332	17.53707664
333	17.53208725
334	17.52114001
335	17.51290551
336	17.50658657
337	17.49905669
338	17.49430423
339	17.48765551
340	17.4826261
341	17.47754757
342	17.46992722
343	17.45878491
344	17.45282669
345	17.44926312
346	17.43929373
347	17.43369042
348	17.42518727
349	17.4163515
350	17.41137783
351	17.40575879
352	17.3988584
353	17.39410429
354	17.39058894
355	17.37983489
356	17.37005924
357	17.36304081
358	17.35781388
359	17.35087101
360	17.3473769
361	17.34305224
362	17.33778396
363	17.33328005
364	17.32874146
365	17.32171449
366	17.31428445
367	17.31144318
368	17.30651471
369	17.29810918
370	17.29238285
371	17.28510706
372	17.27790179
373	17.27121418
374	17.26541963
375	17.25935613
376	17.25400834
377	17.24807308
378	17.24191281
379	17.23415121
380	17.22657593
381	17.21866354
382	17.21350507
383	17.2068122
384	17.20189509
385	17.19904482
386	17.19189563
387	17.18830398
388	17.18525308
389	17.17956203
390	17.17502807
391	17.1669837
392	17.16087747
393	17.15677858
394	17.15152141
395	17.14633929
396	17.14064393
397	17.13354066
398	17.12777804
399	17.11992298
400	17.11392727
401	17.10610912
402	17.10112774
403	17.09861694
404	17.09370547
405	17.08622156
